source_type	url_or_id	dest_relpath	size_gb	license	features_using	notes
# ============================================================================
# Fire / smoke detection datasets
# ============================================================================
kaggle	sayedgamal99/smoke-fire-detection-yolo	raw/fire_detection/d_fire	1.6	CC-BY-4.0	safety-fire_detection
kaggle	yuulind/fasdd-cv-coco	raw/fire_detection/fasdd_cv	30	CC-BY-4.0	safety-fire_detection	[FASDD_CV ~95k imgs]
github	https://zenodo.org/records/15826133/files/indoor_fire.zip	raw/fire_detection/zenodo_indoor_fire	1.0	CC-BY-4.0	safety-fire_detection	[Zenodo 15826133]
roboflow	https://universe.roboflow.com/ds/fire-detection-dataset	raw/fire_detection/roboflow_fire	0.3	CC-BY-4.0	safety-fire_detection	[Roboflow Universe export]
# ============================================================================
# Helmet / PPE detection datasets
# ============================================================================
kaggle	muhammetzahitaydn/hardhat-vest-dataset-v3	raw/helmet_detection/hardhat_vest_v3	4.5	CC-BY-4.0	ppe-helmet_detection
github	https://github.com/ZijianL/SFCHD-SCALE/releases/download/v1.0/sfchd.zip	raw/helmet_detection/sfchd	2.0	CC-BY-4.0	ppe-helmet_detection
kaggle	mugheesahmad/sh17-dataset-for-ppe-detection	raw/helmet_detection/sh17_ppe	3.2	CC-BY-4.0	ppe-helmet_detection
kaggle	andrewmvd/hard-hat-detection	raw/helmet_detection/hard_hat_workers	0.4	PDDL	ppe-helmet_detection
roboflow	https://universe.roboflow.com/ds/ppe-yolov8-dataset	raw/helmet_detection/ppe_yolov8	6.0	CC-BY-4.0	ppe-helmet_detection	[Roboflow Universe project]
roboflow	https://universe.roboflow.com/ds/construction-safety	raw/helmet_detection/construction_safety	0.8	CC-BY-4.0	ppe-helmet_detection
roboflow	https://universe.roboflow.com/ds/roboflow-hardhat	raw/helmet_detection/roboflow_hardhat	0.5	CC-BY-4.0	ppe-helmet_detection
# ============================================================================
# Shoes detection datasets
# ============================================================================
hf	keremberke/protective-equipment-detection	raw/shoes_detection/keremberke_ppe	1.8	AGPL-inherited	ppe-shoes_detection
